area,disruption,greatest_sector,totaldisrupt,dis,totalEmployed
33124,0.7181101872579327,"Electronic equipment installers and repairers, motor vehicles",,808391.0,1125720.0
44700,0.9881934691011236,"Switchboard operators, including answering service",,225150.0,227840.0
5100004,0.7112097150864082,Sewing machine operators,,45681.0,64230.0
21780,1.1986210051630612,"Postal service mail sorters, processors, and processing machine operators",,183401.0,153010.0
73604,0.5815533980582525,Postal service clerks,,37737.0,64890.0
0600002,0.46524064171123,"Cooks, fast food",,6090.0,13090.0
19060,0.32294946147473075,Postal service clerks,,11694.0,36210.0
71950,0.6849703944226913,"Postal service mail sorters, processors, and processing machine operators",,286893.0,418840.0
38940,0.5369078947368421,"Switchboard operators, including answering service",,73449.0,136800.0
31900,0.8085798816568047,"Switchboard operators, including answering service",,40995.0,50700.0
33460,0.8425520219866509,"Electronic equipment installers and repairers, motor vehicles",,1609485.0,1910250.0
42700,0.3263473053892216,Postal service mail carriers,,8175.0,25050.0
34940,0.4710852095851734,"Switchboard operators, including answering service",,65071.0,138130.0
4000001,0.8573914541695382,"Switchboard operators, including answering service",,99526.0,116080.0
3900004,0.8188168256610538,"Switchboard operators, including answering service",,127891.0,156190.0
22900,0.9185060504048768,"Switchboard operators, including answering service",,100953.0,109910.0
1300004,0.9096560988715744,"Switchboard operators, including answering service",,169287.0,186100.0
46220,0.6633931255636837,"Switchboard operators, including answering service",,66200.0,99790.0
15680,0.4137954545454545,Postal service clerks,,18207.0,44000.0
5500002,1.163973529557015,"Switchboard operators, including answering service",,235693.0,202490.0
3800002,0.5593208942679442,Postal service clerks,,33274.0,59490.0
47300,1.9595945760854678,"Switchboard operators, including answering service",,286140.0,146020.0
10540,0.7376084407971863,Postal service clerks,,31459.0,42650.0
11500,0.7116160388821385,Postal service clerks,,29283.0,41150.0
1600002,0.5082635983263598,Postal service clerks,,9718.0,19120.0
28100,0.368017471487503,Postal service clerks,,15166.0,41210.0
0100002,1.731378480577518,"Switchboard operators, including answering service",,251829.0,145450.0
72400,0.657920792079208,"Postal service mail sorters, processors, and processing machine operators",,81069.0,123220.0
13780,0.7295313881520779,"Switchboard operators, including answering service",,74259.0,101790.0
76600,0.5247529644268775,Postal service clerks,,21242.0,40480.0
2500002,0.2751111111111111,"Bookkeeping, accounting, and auditing clerks",,2476.0,9000.0
0900001,0.9344203972724577,Sewing machine operators,,31518.0,33730.0
45500,0.487385936661299,"Switchboard operators, including answering service",,27240.0,55890.0
27060,0.5069578968175529,Postal service clerks,,25647.0,50590.0
21820,0.39501078748651564,Postal service mail carriers,,14647.0,37080.0
21140,1.5684447250059181,"Switchboard operators, including answering service",,198769.0,126730.0
3300004,0.5825038481272448,"Switchboard operators, including answering service",,22706.0,38980.0
3700002,0.6200083804734967,"Switchboard operators, including answering service",,59186.0,95460.0
31540,0.7313310115478279,"Postal service mail sorters, processors, and processing machine operators",,279288.0,381890.0
2800004,0.7094953426942862,"Switchboard operators, including answering service",,51034.0,71930.0
12940,0.6504697206929643,"Postal service mail sorters, processors, and processing machine operators",,257573.0,395980.0
2000002,0.7121036988110965,"Switchboard operators, including answering service",,43125.0,60560.0
4100004,0.5311713030746705,Postmasters and mail superintendents,,36279.0,68300.0
12260,0.7636962924867923,"Postal service mail sorters, processors, and processing machine operators",,163347.0,213890.0
47220,0.664572192513369,"Switchboard operators, including answering service",,39768.0,59840.0
22380,0.3064753966981888,"Switchboard operators, including answering service",,19121.0,62390.0
47460,0.3358089120835006,Postal service mail carriers,,8365.0,24910.0
3800003,0.5970260223048327,Postmasters and mail superintendents,,24090.0,40350.0
41980,0.8429639002605136,"Electronic equipment installers and repairers, motor vehicles",,566261.0,671750.0
27780,0.536668519547897,"Postal service mail sorters, processors, and processing machine operators",,28964.0,53970.0
3000003,0.5882410917361638,Sewing machine operators,,77589.0,131900.0
