MSA,29-0000,33-0000,13-0000,47-0000,35-0000,39-0000,25-0000,17-0000,21-0000,45-0000,51-0000,43-0000,37-0000,31-0000,19-0000,15-0000,49-0000,27-0000,11-0000,23-0000,41-0000,53-0000
33124,1138816.0,189450.0,519120.0,338956.0,702260.0,398508.0,413896.0,28674.000000000004,121905.0,-12095.0,-130634.0,418640.0,247318.0,687930.0,28194.0,289379.0,276992.0,63877.99999999999,216535.0,86343.0,744000.0,435504.0
44700,208443.99999999997,25965.0,52836.0,81911.0,123370.0,99660.0,130796.0,4428.0,35280.0,-58292.0,-43276.0,72440.0,40548.0,130180.0,11692.0,23449.0,58496.0,5166.0,51535.0,4233.0,108250.0,135984.0
73604,54611.99999999999,5715.0,16548.0,41208.0,43680.0,29436.0,41572.0,2727.0,12390.0,-354.0,-17329.0,18420.0,12772.0,50370.0,2294.0,10218.0,16256.0,2542.0,20295.0,1173.0,36350.0,14784.0
0600002,10004.0,2160.0,2772.0,6565.0,16250.0,4620.0,6308.0,297.0,1470.0,-236.0,-1054.0,3860.0,6758.0,3910.0,3182.0,1310.0,4224.0,409.99999999999994,4125.0,306.0,5650.0,1344.0
45500,62319.99999999999,8730.0,12936.0,22422.0,38155.0,26004.0,26448.0,1134.0,6510.0,-767.0,-12524.0,16620.0,9672.0,40250.0,1702.0,4716.0,25344.0,1312.0,9790.0,1224.0,31050.0,24672.0
0500002,57563.99999999999,7470.0,11004.0,23432.0,38220.0,31944.0,38836.0,1647.0,11970.0,-2360.0,-31062.0,18560.0,14384.0,55660.0,1850.0,4192.0,19712.0,1107.0,14960.0,1275.0,34550.0,31248.0
16540,50675.99999999999,3150.0,15624.0,18180.0,33215.0,20724.0,25004.0,2997.0,10290.0,-649.0,-18166.0,16020.0,10540.0,40940.0,1184.0,11790.0,18624.0,1230.0,9570.0,866.9999999999999,27250.0,42000.0
71950,364079.99999999994,43965.0,248136.0,98980.0,216905.0,210012.0,213788.0,14094.000000000002,77490.0,-1298.0,-61628.0,133140.0,99820.0,267720.0,25530.0,191260.0,76608.0,33661.0,201080.0,20451.0,224150.0,93456.0
38940,175971.99999999997,11655.0,42840.0,73124.0,102895.0,59004.0,58140.0,3726.0000000000005,20580.0,-3304.0,-17949.0,43100.0,42780.0,109710.0,5772.0,15065.0,40128.0,4387.0,21725.0,5355.0,88950.0,39504.0
3000003,126279.99999999999,8910.0,56952.0,79790.0,97305.0,56496.0,58672.0,6696.0,29190.0,-3658.0,-16089.0,40880.0,39308.0,91080.0,18796.0,36156.0,34368.0,7707.999999999999,25355.0,5865.0,71500.0,29472.0
31900,52479.99999999999,7830.0,10668.0,18786.0,32565.0,12936.0,22116.0,2970.0,11340.0,-472.0,-23033.0,15260.0,8246.0,40710.0,518.0,5371.0,12096.0,1271.0,9680.0,1275.0,24800.0,17568.0
33460,1730527.9999999998,131220.0,1126188.0,612363.0,1026090.0,1178100.0,823764.0,114777.00000000001,357945.0,-7021.0,-418965.0,557220.0,326244.0,1160580.0,127428.0,1079964.0,375872.0,116849.99999999999,692835.0,79050.0,938750.0,550224.0
17420,38868.0,2925.0,6888.0,12524.0,29315.0,11484.0,22344.0,1863.0000000000002,7455.0,-295.0,-0.0,11540.0,6448.0,24610.0,1850.0,3275.0,10816.0,1148.0,9625.0,408.0,20900.0,0.0
34940,134644.0,14445.0,44352.0,110696.0,133055.0,70488.0,41952.0,2322.0,12600.0,-2596.0,-14942.0,39520.0,61070.0,84640.0,3552.0,17423.0,34304.0,5207.0,23925.0,4998.0,89600.0,32784.0
4000001,125459.99999999999,14850.0,39564.0,46359.0,76245.0,58080.0,61408.0,3996.0000000000005,26145.0,-1003.0000000000001,-27838.0,36540.0,23312.0,97290.0,5920.0,22401.0,30528.0,4058.9999999999995,31075.0,2958.0,54150.0,33216.0
3900004,198275.99999999997,15840.0,33180.0,55651.0,109135.0,40128.0,104500.0,5886.0,31395.0,-1829.0,-42997.0,41440.0,32798.0,176640.0,7400.0,17816.0,44992.0,4141.0,34265.0,2039.9999999999998,74200.0,60672.0
22900,104795.99999999999,9495.0,24696.0,51510.0,64740.0,46728.0,42256.0,2349.0,16170.0,-3127.0,-45198.0,33800.0,17360.0,71300.0,2516.0,16113.0,30016.0,2008.9999999999998,24585.0,2091.0,56600.0,52944.0
1300004,195815.99999999997,30420.0,40740.0,76962.0,96200.0,33792.0,110048.0,6534.0,25515.0,-16343.000000000002,-66340.0,54640.0,32240.0,125350.0,7326.0,18733.0,59776.0,3197.9999999999995,41525.0,3162.0,90600.0,82752.0
46220,110043.99999999999,8550.0,21084.0,49490.0,64415.0,28776.0,48260.0,3456.0,14280.0,-1416.0,-45694.0,26860.0,18662.0,80960.0,3774.0,15458.0,28864.0,3607.9999999999995,16830.0,1886.9999999999998,47300.0,37392.0
15680,30503.999999999996,3195.0,42336.0,13837.0,21515.0,12276.0,17556.0,14148.000000000002,5040.0,,-2449.0,11660.0,6200.0,21160.0,2146.0,50435.0,16128.0,1516.9999999999998,12705.0,1122.0,15950.0,6960.0
5500002,176955.99999999997,18315.0,65268.0,78679.0,128440.0,93588.0,82460.0,7209.000000000001,26880.0,-4307.0,-82925.0,61420.0,38378.0,128800.0,11100.0,38776.0,58880.0,6682.999999999999,45045.0,2805.0,95400.0,76992.0
3800002,47887.99999999999,4635.0,16296.0,60095.0,34060.0,24552.0,30248.0,2376.0,7245.0,-1475.0,-10168.0,16700.0,12090.0,30360.0,3034.0,4847.0,27072.0,1598.9999999999998,13585.0,1122.0,28450.0,29040.0
47300,122179.99999999999,10350.0,27468.0,39188.0,71110.0,38016.0,93252.0,1863.0000000000002,36120.0,-145612.0,-28427.0,36400.0,21700.0,78200.0,8288.0,13100.0,37056.0,2583.0,28270.0,2091.0,71250.0,55632.0
10540,27387.999999999996,3690.0,8736.0,18786.0,23465.0,30096.0,23712.0,1728.0,7770.0,-3304.0,-14198.0,11820.0,9052.0,34040.0,1776.0,3799.0,11968.0,1516.9999999999998,10560.0,408.0,17650.0,21984.0
32900,46411.99999999999,6345.0,15708.0,15049.0,37310.0,16500.0,63840.0,783.0,14805.0,-27966.0,-16089.0,17220.0,12028.0,41400.0,5328.0,8908.0,15168.0,1393.9999999999998,14575.0,968.9999999999999,29700.0,27360.0
28100,65435.99999999999,5625.0,9240.0,10403.0,23855.0,10164.0,21812.0,945.0000000000001,9555.0,-1003.0000000000001,-10912.0,11620.0,5704.0,45770.0,1924.0,4716.0,13376.0,1516.9999999999998,12705.0,561.0,20550.0,15648.0
0100002,120703.99999999999,11385.0,24024.0,42016.0,69615.0,38676.0,63308.0,5130.0,11445.0,-6844.0,-112654.0,36240.0,25482.0,91770.0,2294.0,8777.0,45696.0,2583.0,22825.0,1173.0,69400.0,61680.0
72400,125295.99999999999,8685.0,69636.0,50096.0,66365.0,45408.0,67108.0,9801.0,35070.0,-2242.0,-24428.0,32700.0,22320.0,60260.0,8732.0,59998.0,34752.0,10946.999999999998,30360.0,5763.0,66500.0,30288.0
13780,110699.99999999999,9630.0,29232.0,38077.0,59475.0,53328.0,71592.0,5508.0,20580.0,-295.0,-18693.0,32800.0,27342.0,70610.0,3478.0,29475.0,23104.0,4592.0,23045.0,2754.0,48500.0,34608.0
76600,52151.99999999999,3690.0,14280.0,20503.0,25935.0,22968.0,21584.0,2457.0,9870.0,-0.0,-6696.0,11920.0,7998.0,32890.0,2368.0,8777.0,8832.0,2419.0,14410.0,1019.9999999999999,21350.0,6816.0
19060,49363.99999999999,6570.0,8148.0,16564.0,23985.0,22176.0,21432.0,1188.0,8715.0,-295.0,-7719.0,11480.0,6200.0,29670.0,1332.0,5502.0,8448.0,737.9999999999999,5940.0,663.0,19800.0,8976.0
27060,37064.0,3195.0,16380.0,13433.0,31135.0,22308.0,63232.0,2484.0,13965.0,-1121.0,-6262.0,15320.0,13826.0,21850.0,14134.0,22532.0,10624.0,3525.9999999999995,13695.0,1581.0,18700.0,7392.0
21820,32471.999999999996,3960.0,11256.0,29189.0,22230.0,10692.0,22116.0,2268.0,9870.0,-0.0,-2573.0,12400.0,10478.0,16100.0,8066.0,7205.0,13376.0,1312.0,11000.0,1019.9999999999999,15650.0,10752.0
4800001,150552.0,29700.0,40740.0,167761.0,104065.0,35112.0,126236.0,7938.000000000001,18900.0,-17759.0,-45291.0,59900.0,38068.0,122590.0,14134.0,16113.0,74240.0,3402.9999999999995,38115.0,4692.0,85250.0,84816.0
31540,372279.99999999994,30240.0,225456.0,136451.0,200720.0,156684.0,193952.0,20925.0,63945.0,-2950.0,-83173.0,112300.0,70742.0,197340.0,53132.0,311125.0,78528.0,26485.999999999996,113850.0,13667.999999999998,166200.0,97152.0
70750,82820.0,6435.0,18564.0,26058.0,40040.0,38676.0,35720.0,1620.0,18480.0,-885.0,-7192.0,19620.0,15996.0,61410.0,2886.0,14279.0,17728.0,3443.9999999999995,18150.0,1988.9999999999998,33950.0,17856.0
12940,375723.99999999994,51885.0,140616.0,397839.0,222170.0,177276.0,158080.0,23760.0,50190.0,-2006.0000000000002,-77779.0,107300.0,73098.0,235750.0,26566.0,77421.0,124800.0,18327.0,99220.0,13514.999999999998,192100.0,142608.0
2000002,69208.0,5580.0,14868.0,35552.0,36660.0,26004.0,34428.0,864.0,7770.0,-3127.0,-9362.0,19140.0,14756.0,61640.0,1924.0,6157.0,24128.0,2828.9999999999995,14905.0,1326.0,31350.0,19344.0
3800001,35424.0,4590.0,12264.0,130694.0,26715.0,16632.0,19532.0,2700.0,4620.0,-767.0,-12555.0,14620.0,12462.0,27600.0,3478.0,4323.0,34176.0,1680.9999999999998,16060.0,1682.9999999999998,23150.0,43392.0
4100004,51331.99999999999,11835.0,11760.0,25250.0,37895.0,35244.0,36100.0,1080.0,14490.0,-11623.0,-14849.0,18540.0,17174.0,32660.0,13098.0,5633.0,22976.0,1967.9999999999998,17380.0,1275.0,31550.0,35616.0
12260,309304.0,29790.0,63924.0,80598.0,126945.0,59928.0,113848.0,15147.000000000002,24045.0,-2655.0,-51336.0,64600.0,46004.0,157090.0,13912.0,35501.0,61888.0,6190.999999999999,53735.0,3875.9999999999995,112050.0,65328.0
47220,66912.0,13725.0,12348.0,22220.0,25480.0,17820.0,39672.0,729.0,16800.0,-0.0,-16523.0,16200.0,10354.0,57270.0,1776.0,0.0,14464.0,901.9999999999999,9075.0,1326.0,25750.0,27024.0
22380,61827.99999999999,6570.0,0.0,20907.0,58760.0,31020.0,32376.0,2376.0,13125.0,-354.0,-8122.0,17380.0,14880.0,23690.0,10582.0,12445.0,17024.0,2583.0,22440.0,2601.0,29950.0,12144.0
28700,154816.0,12105.0,28728.0,49490.0,76245.0,32208.0,47576.0,7560.000000000001,13860.0,-826.0,-38564.0,36320.0,19902.0,88780.0,6438.0,17947.0,39040.0,3320.9999999999995,28325.0,3314.9999999999995,62900.0,39216.0
41980,617952.0,217935.0,304248.0,218362.0,337935.0,166056.0,338352.0,25461.0,134400.0,-6549.0,-115072.0,261480.0,182838.0,162150.0,36852.0,113315.0,143296.0,27059.999999999996,174515.0,20400.0,402750.0,153936.0
27780,76916.0,4725.0,15120.0,21513.0,32630.0,39996.0,27436.0,2160.0,18270.0,-236.0,-8928.0,17700.0,11222.0,43930.0,1628.0,9956.0,14272.0,1885.9999999999998,9515.0,968.9999999999999,27150.0,17136.0
3900002,301596.0,28035.0,65184.0,145743.0,210210.0,105732.0,153140.0,13014.0,45570.0,-3953.0000000000005,-177227.0,85260.0,64108.0,293710.0,11470.0,28034.0,92800.0,13119.999999999998,65175.0,4079.9999999999995,147250.0,128544.0
